System,PC1,PC2
WT,-4.836990,-1.203770
WT,-3.719480,-1.363330
WT,-4.057060,-3.480340
WT,-3.841790,-3.502360
WT,-3.522260,0.297380
WT,-4.005020,1.329080
WT,-3.978140,2.212910
WT,-2.829080,0.165580
WT,-3.434690,1.024770
WT,-3.269370,-2.271700
WT,-3.616590,-0.119460
WT,-4.806270,0.890220
WT,-4.928730,-0.665530
WT,-4.983620,0.373470
WT,-5.374160,0.437960
WT,-4.990270,0.761180
WT,-3.788980,-0.005840
WT,-3.517560,0.281800
WT,-3.203480,-0.586690
WT,-4.852430,0.212300
WT,-3.998990,2.299570
WT,-4.643430,1.869400
WT,-4.297960,2.623750
WT,-4.397930,0.451110
WT,-4.580040,-0.174760
WT,-5.101250,-0.370940
WT,-4.981420,-0.063240
WT,-4.360240,2.349280
WT,-5.594030,3.595950
WT,-5.002180,3.662080
WT,-5.456720,1.921730
WT,-4.688700,3.500120
WT,-5.064950,4.427660
WT,-4.781400,4.589000
WT,-4.168620,7.705140
WT,-5.221560,4.855650
WT,-4.715570,4.009600
WT,-4.708320,2.929680
WT,-4.290860,4.202200
WT,-4.994540,0.929120
WT,-4.425270,2.219680
WT,-4.279800,2.937610
WT,-3.792570,3.058390
WT,-4.778230,1.627690
WT,-5.518460,-0.480890
WT,-5.157160,-0.906490
WT,-4.818010,-0.904700
WT,-4.685260,-0.314940
WT,-4.709670,2.016140
WT,-4.440440,0.525050
WT,-4.567550,-0.516560
WT,-4.264080,2.073840
WT,-2.825990,1.891210
WT,-3.369870,2.750090
WT,-2.790730,5.301410
WT,-2.372230,2.862180
WT,-2.920300,3.455930
WT,-4.316710,2.115630
WT,-3.966810,2.919780
WT,-3.189760,3.495670
WT,-2.804000,6.566630
WT,-3.407540,3.745110
WT,-3.260260,4.732100
WT,-3.051710,5.342350
WT,-2.719550,5.030270
WT,-2.975260,4.313410
WT,-3.074860,4.426450
WT,-2.440160,6.659680
WT,-4.536390,3.522810
WT,-4.974190,2.333510
WT,-4.458290,2.573260
WT,-4.280710,4.174990
WT,-3.749990,1.564050
WT,-3.302790,4.069330
WT,-3.279900,1.949080
WT,-4.457880,0.829710
WT,-3.883730,1.681580
WT,-4.740860,0.951680
WT,-4.649570,1.182590
WT,-4.203310,1.077640
WT,-3.705510,2.704120
WT,-2.948190,0.619830
WT,-2.834510,2.361120
WT,-3.996660,1.763260
WT,-4.233000,1.398120
WT,-4.734550,2.644970
WT,-4.138850,1.025260
WT,-4.708480,1.493030
WT,-4.519700,2.144260
WT,-5.151390,1.312750
WT,-4.353250,2.835780
WT,-2.584070,3.512130
WT,-3.593640,2.775660
WT,-3.385640,1.736380
WT,-4.587980,3.042250
WT,-2.610850,2.278050
WT,-3.014070,3.758770
WT,-2.746030,2.241140
WT,-1.722910,2.960770
WT,-2.457020,3.728920
WT,-3.242530,4.037380
WT,-2.877730,3.717370
WT,-4.066470,2.524850
WT,-2.533180,5.446100
WT,-2.770810,3.405360
WT,-3.157550,3.667840
WT,-2.485750,3.288200
WT,-2.819870,4.682300
WT,-3.575330,3.561590
WT,-4.782530,1.996840
WT,-3.476010,2.638250
WT,-3.119820,4.006290
WT,-3.414390,2.178240
WT,-4.545000,2.191540
WT,-4.547190,2.861940
WT,-4.614510,2.896980
WT,-4.583990,2.983570
WT,-4.057340,2.461840
WT,-5.667980,0.992990
WT,-3.669130,2.826270
WT,-3.769950,2.582670
WT,-4.942620,2.752650
WT,-3.866820,5.552910
WT,-3.289710,5.138210
WT,-1.924790,7.539960
WT,-3.129770,7.143820
WT,-2.753500,7.139680
WT,-3.056780,7.357050
WT,-3.352210,5.451620
WT,-3.097840,6.691120
WT,-1.850790,7.119100
WT,-1.609300,9.087880
WT,-2.199160,9.608780
WT,-2.544350,9.630240
WT,-1.932020,10.910040
WT,-1.411330,9.690420
WT,-2.205920,8.426130
WT,-1.613590,8.510460
WT,-1.457200,6.001560
WT,-2.518820,3.870630
WT,-3.127450,3.880170
WT,-2.810860,6.554170
WT,-4.219280,3.726370
WT,-3.744550,5.312430
WT,-3.832750,4.547020
WT,-3.998450,6.619520
WT,-3.738360,3.838200
WT,-3.862550,2.603750
WT,-3.649330,3.712770
WT,-3.181040,3.592090
WT,-3.896670,4.316600
WT,-3.574390,5.663450
WT,-3.240780,5.803430
WT,-4.202800,5.288710
WT,-3.626510,6.432020
WT,-2.990790,5.882630
WT,-3.529590,5.459680
WT,-3.693460,6.449130
WT,-3.432810,5.455610
WT,-4.090040,4.391650
WT,-3.035940,7.197990
WT,-2.644360,6.572540
WT,-1.810910,8.866490
WT,-1.609800,8.766020
WT,-2.175930,7.192570
WT,-2.838760,6.561710
WT,-2.979110,6.679970
WT,-2.317790,7.858320
WT,-3.941460,5.212780
WT,-3.532720,7.225380
WT,-4.926440,4.838180
WT,-2.757550,9.196470
WT,-2.369900,7.774720
WT,-2.769740,8.209040
WT,-2.209740,7.870220
WT,-2.468220,7.419820
WT,-3.126120,7.361080
WT,-2.129620,8.763680
WT,-2.432500,9.297990
WT,-3.129280,5.707850
WT,-3.277100,6.178400
WT,-3.278540,4.948890
WT,-3.865430,4.505880
WT,-3.611110,6.219020
WT,-4.071090,4.949810
WT,-3.918370,5.264300
WT,-3.588360,6.497230
WT,-4.012770,5.923290
WT,-4.232020,4.746270
WT,-4.223940,4.181890
WT,-4.051750,4.263040
WT,-3.627150,5.418550
WT,-4.143180,5.446200
WT,-4.332820,5.711030
WT,-3.347440,5.719920
WT,-3.511980,5.596450
WT,-2.927640,6.796180
WT,-3.979640,7.432030
WT,-3.810050,6.744210
WT,-4.109250,3.962850
WT,-4.449810,4.480560
WT,-4.198140,5.500150
WT,-3.019180,6.950430
WT,-4.088180,5.541130
WT,-3.888070,5.215150
WT,-3.620190,6.524450
WT,-3.631430,5.593420
WT,-4.172440,4.490360
WT,-3.416100,5.857610
WT,-3.467840,6.234390
WT,-4.029340,5.405620
WT,-3.135260,6.619620
WT,-3.717420,6.214200
WT,-4.061100,7.762990
WT,-3.854150,6.999450
WT,-3.962720,6.635260
WT,-4.205180,6.527790
WT,-4.272830,6.295200
WT,-3.841440,6.475850
WT,-4.518370,5.706930
WT,-3.812090,6.731770
WT,-3.549870,7.246730
WT,-3.429220,6.056100
WT,-3.616480,6.434550
WT,-3.090780,7.868340
WT,-2.847070,7.809240
WT,-2.935900,7.792890
WT,-2.797940,7.910760
WT,-2.832230,8.076130
WT,-2.764910,8.656910
WT,-3.096190,7.141710
WT,-3.590490,7.303380
WT,-2.970840,7.044510
WT,-3.676890,5.751750
WT,-3.949190,5.242670
WT,-2.575080,7.899130
WT,-3.661540,7.025590
WT,-3.222710,7.477810
WT,-3.000920,7.020200
WT,-3.781420,6.284130
WT,-3.109440,8.064920
WT,-3.547270,7.375030
WT,-3.267270,8.123300
WT,-3.497070,8.087650
WT,-2.924650,7.301780
WT,-3.296950,7.377690
WT,-3.807350,6.466340
WT,-4.095540,5.416510
WT,-4.114170,6.171740
WT,-4.093340,5.796360
WT,-3.357970,6.091050
WT,-3.290570,6.752840
WT,-3.264250,6.091100
WT,-3.602890,5.455750
WT,-3.418690,5.614520
WT,-3.008900,6.229520
WT,-3.180640,6.522820
WT,-3.226630,6.492390
WT,-2.930400,5.420220
WT,-3.180630,5.812260
WT,-2.526460,6.679700
WT,-2.757230,6.880040
WT,-3.039190,5.411320
WT,-4.323420,4.822870
WT,-3.366880,5.442870
WT,-3.030450,7.303940
WT,-2.961580,6.560830
WT,-3.947530,5.861600
WT,-4.110200,6.095260
WT,-2.529510,8.494310
WT,-3.006020,7.266470
WT,-2.977110,7.574570
WT,-2.762550,6.836080
WT,-3.002460,7.271900
WT,-3.261970,6.400530
WT,-3.652470,6.011990
WT,-2.737590,7.755500
WT,-3.175660,6.263910
WT,-3.492610,6.411180
WT,-3.121380,6.714290
WT,-2.793580,7.657010
WT,-3.018370,6.656110
WT,-2.646980,6.530700
WT,-2.682510,6.799930
WT,-2.991110,6.918420
WT,-2.762390,5.859680
WT,-2.875310,6.446520
WT,-3.200260,5.004640
WT,-2.958690,6.484700
WT,-3.947240,5.578970
WT,-3.454820,5.913760
WT,-3.601500,5.209220
WT,-3.638820,4.794060
WT,-3.822510,5.847690
WT,-3.359940,5.271130
WT,-3.094250,5.474410
WT,-3.255640,6.565270
WT,-3.736520,5.719490
WT,-4.420920,6.001090
WT,-3.617490,6.254330
WT,-3.500480,6.734780
WT,-3.136560,8.283330
WT,-3.540330,7.650750
WT,-3.206930,7.153840
WT,-4.000180,6.616460
WT,-3.075100,8.110350
WT,-3.363560,6.968600
WT,-3.279420,7.337820
WT,-2.888260,7.235890
WT,-3.335640,5.791190
WT,-3.603990,5.819390
WT,-3.267540,6.211440
WT,-3.185470,7.851860
WT,-3.696790,6.711150
WT,-3.649550,7.226740
WT,-2.703040,7.377630
WT,-3.401520,5.237610
WT,-3.832480,5.608140
WT,-3.670640,6.132220
WT,-3.315700,7.150800
WT,-3.236150,7.034080
WT,-3.124110,7.139940
WT,-3.477230,7.322890
WT,-2.688480,10.317170
WT,-2.558410,8.864070
WT,-3.356350,7.416880
WT,-2.764020,8.470910
WT,-3.385910,8.111030
WT,-3.785980,7.091760
WT,-3.566170,6.511180
WT,-3.880350,6.350960
WT,-3.917750,5.098520
WT,-3.270980,5.448830
WT,-3.757860,4.913480
WT,-3.843390,5.689560
WT,-3.447980,5.636980
WT,-3.934200,5.102670
WT,-3.788420,4.779430
WT,-4.185070,5.603900
WT,-3.494900,6.425570
WT,-3.315780,6.698310
WT,-4.213050,3.975950
WT,-3.783540,5.275860
WT,-3.579930,5.961320
WT,-3.820510,5.806250
WT,-3.593470,5.022260
WT,-3.492880,5.780180
WT,-3.752420,5.579960
WT,-4.097560,3.612940
WT,-2.898380,6.107670
WT,-3.117670,6.120230
WT,-4.474450,5.546480
WT,-3.723020,7.663400
WT,-4.532110,4.535570
WT,-2.877830,6.669470
WT,-2.517720,7.721680
WT,-3.754450,6.954640
WT,-4.023230,5.657130
WT,-2.930980,5.267470
WT,-3.928680,4.635940
WT,-2.837810,5.966190
WT,-3.762550,4.336470
WT,-2.928160,6.057260
WT,-3.373960,6.242780
WT,-3.451360,5.831620
WT,-3.397230,7.604900
WT,-3.165060,7.172680
WT,-3.236100,7.257580
WT,-2.701840,6.910500
WT,-3.949260,7.282690
WT,-3.733230,7.190960
WT,-4.238720,7.097340
WT,-2.796910,8.182300
WT,-3.171900,7.983080
WT,-3.087480,7.225290
WT,-3.375780,6.219530
WT,-3.496300,6.732120
WT,-3.154490,7.267230
WT,-2.570740,7.974000
WT,-3.746730,6.578430
WT,-3.963190,5.617730
WT,-3.588320,5.786010
WT,-3.440390,6.735130
WT,-3.014640,6.937110
WT,-3.677980,5.687850
WT,-4.008930,5.197470
WT,-3.326160,6.186550
WT,-3.146150,6.770060
WT,-3.629570,4.478560
WT,-3.199360,4.968480
WT,-3.105790,6.847380
WT,-3.617310,5.688650
WT,-3.567070,4.926660
WT,-2.524270,6.342180
WT,-3.769630,4.503340
WT,-3.380290,5.949830
WT,-2.726940,6.043150
WT,-2.935080,6.174650
WT,-3.364810,5.114110
WT,-3.703420,5.519820
WT,-2.964260,6.504170
WT,-3.329900,7.092980
WT,-3.131460,6.750460
WT,-3.891700,6.159000
WT,-3.973140,4.591120
WT,-3.665280,5.759540
WT,-3.417530,5.781840
WT,-3.258600,5.905390
WT,-3.147030,5.929020
WT,-3.011030,3.716050
WT,-3.451720,3.066980
WT,-4.219270,4.944150
WT,-3.975120,4.812410
WT,-4.272040,5.057450
WT,-3.908940,5.670350
WT,-4.078610,7.048440
WT,-4.118800,5.688100
WT,-3.865850,5.681240
WT,-3.784590,6.104830
WT,-4.247910,6.594580
WT,-4.088280,5.485690
WT,-3.768660,6.006240
WT,-3.896440,5.586480
WT,-4.018970,4.221840
WT,-3.648950,5.943630
WT,-3.942130,5.814590
WT,-3.631090,6.125530
WT,-3.255030,4.739190
WT,-3.391490,6.183440
WT,-3.354200,6.384220
WT,-3.744460,5.151970
WT,-4.115570,5.951560
WT,-4.228350,4.720550
WT,-3.757700,5.144820
WT,-3.680360,5.022950
WT,-3.459680,5.307690
WT,-3.746160,6.409050
WT,-3.355290,4.974770
WT,-2.999850,5.632790
WT,-3.350790,7.086320
WT,-3.478280,5.292960
WT,-3.054290,6.319860
WT,-2.945170,7.066940
WT,-2.943980,8.107480
WT,-3.486170,8.014370
WT,-3.298130,6.228230
WT,-3.558910,7.219610
WT,-4.097390,7.195320
WT,-3.700430,5.952140
WT,-3.829810,6.434340
WT,-2.541540,8.121800
WT,-3.486900,6.078290
WT,-2.835690,7.028630
WT,-3.190170,6.751960
WT,-3.477460,6.866470
WT,-3.555530,6.658060
WT,-3.886590,6.295470
WT,-3.432700,7.029880
WT,-3.259520,6.051580
WT,-3.698000,6.685990
WT,-3.649080,7.033490
WT,-3.999110,5.882440
WT,-3.808630,6.410160
WT,-3.626630,5.416270
WT,-2.831790,7.830760
WT,-3.069540,6.640410
WT,-3.887010,5.678110
WT,-3.186860,7.086880
WT,-3.447400,6.708080
WT,-3.559170,6.100930
WT,-4.020670,5.784600
WT,-2.941400,6.829420
WT,-3.892940,5.683960
WT,-3.849620,5.493090
WT,-3.386260,5.704600
WT,-3.240090,5.401490
WT,-3.456450,6.140530
WT,-3.725040,6.019110
WT,-2.647670,7.849080
