System,TIC1,TIC2
WT,0.864367,-0.089107
WT,1.108925,-0.036108
WT,0.885301,0.079094
WT,0.831416,0.373137
WT,1.055664,0.109083
WT,1.084842,0.042736
WT,0.920392,0.244900
WT,1.007037,0.350176
WT,1.214300,0.237641
WT,1.019407,0.277177
WT,0.994736,0.281830
WT,0.992951,0.136218
WT,1.020608,0.419170
WT,1.170067,0.414825
WT,1.167282,0.227310
WT,1.068517,0.272529
WT,1.071810,0.193387
WT,0.992265,0.226618
WT,1.130941,0.208884
WT,0.990663,0.193759
WT,0.918353,0.138478
WT,1.101998,-0.094240
WT,1.044189,0.084463
WT,1.081248,0.006716
WT,0.869125,0.099414
WT,1.201051,0.373531
WT,1.065383,-0.082170
WT,0.877400,0.133163
WT,0.909777,0.051137
WT,0.966786,-0.134831
WT,1.035037,-0.033972
WT,0.989626,-0.087846
WT,1.024772,0.529351
WT,1.129198,-0.006829
WT,1.095166,0.263633
WT,1.002461,0.135696
WT,0.931189,0.356119
WT,1.080797,0.103251
WT,1.294427,0.127500
WT,0.996973,0.079264
WT,0.979533,0.468705
WT,1.114479,0.274578
WT,1.045801,0.121551
WT,1.024484,0.029356
WT,0.946954,0.307087
WT,0.901384,0.495495
WT,1.131002,0.399586
WT,1.327058,0.227383
WT,0.981436,0.347802
WT,1.124585,0.386750
WT,0.884742,0.341870
WT,1.158361,0.325490
WT,0.958753,0.250906
WT,0.981980,0.114523
WT,0.952461,0.262269
WT,0.747206,0.078243
WT,0.811397,0.096405
WT,0.746231,0.340375
WT,1.167433,0.284002
WT,1.161887,0.252988
WT,1.173484,0.264322
WT,1.059311,0.424239
WT,1.073718,0.492361
WT,0.851641,0.540940
WT,1.012281,0.481591
WT,0.968713,0.340015
WT,0.897286,0.566807
WT,0.926290,1.014759
WT,0.852167,0.397381
WT,0.890603,0.586989
WT,1.116140,0.674098
WT,0.925186,0.772219
WT,1.105675,0.721739
WT,1.031624,0.481139
WT,0.749552,0.843963
WT,0.920623,0.868748
WT,0.880094,0.846507
WT,1.058004,0.553193
WT,0.882069,0.725009
WT,0.916334,0.829435
WT,1.060123,0.848862
WT,0.842750,0.724985
WT,0.879627,0.519601
WT,0.936889,0.625704
WT,0.917147,0.674810
WT,0.891610,0.856404
WT,1.148394,0.707732
WT,0.937878,0.754039
WT,1.253548,0.748162
WT,1.125226,0.571823
WT,0.978515,0.706504
WT,1.028724,0.702746
WT,1.047297,0.457569
WT,0.819779,0.630570
WT,1.139330,0.660788
WT,1.090955,0.755705
WT,0.894526,0.636440
WT,1.175187,0.755841
WT,1.147104,0.833436
WT,0.853429,0.857475
WT,0.904982,0.917127
WT,1.102660,0.593480
WT,1.071049,0.578136
WT,0.912106,0.723920
WT,0.932221,0.449614
WT,1.138146,0.622114
WT,0.869299,0.632474
WT,0.779985,0.490476
WT,0.862832,0.836576
WT,1.404362,0.836755
WT,1.057973,0.389548
WT,1.183655,0.416426
WT,1.273278,0.589922
