Time_ns,WT,D111A,T110A_D111A,T60A_S63A
41.500000,0.505562,0.314663,2.672186,0.351300
41.600000,0.445258,0.288780,0.816092,0.334586
41.700000,0.560636,0.256997,0.846439,0.343287
41.800000,0.630680,0.283556,0.844650,0.368662
41.900000,0.630684,0.295172,0.817121,0.341542
42.000000,0.560604,0.267618,0.871845,0.311450
42.100000,0.658139,0.228518,0.849540,0.321932
42.200000,0.586915,0.263958,0.864287,0.378494
42.300000,2.801082,0.330621,0.883372,0.366265
42.400000,0.529224,0.287043,0.871640,0.302617
42.500000,0.448110,0.263589,0.842954,0.301231
42.600000,0.487028,0.244469,0.840093,0.333702
42.700000,0.541343,0.239825,0.779991,0.343782
42.800000,0.511099,0.271368,0.768457,0.376778
42.900000,0.541367,0.304442,0.770228,0.335530
43.000000,0.537137,0.250740,0.752935,0.316926
43.100000,0.542809,0.227106,0.798470,0.346587
43.200000,0.518904,0.229431,0.844806,0.324315
43.300000,0.578691,0.264759,0.867762,0.322755
43.400000,0.675774,0.293406,0.851128,0.337235
43.500000,0.633568,0.251742,0.857832,0.326764
43.600000,0.655891,0.268284,0.791848,0.272464
43.700000,0.647981,0.298510,0.769952,0.286764
43.800000,0.616520,0.231000,0.804589,0.281767
43.900000,0.614862,0.245376,0.828934,0.290857
44.000000,0.656612,0.234076,0.869500,0.311385
44.100000,0.592486,0.218276,0.855359,0.334525
44.200000,0.720468,0.275953,0.805002,0.303683
44.300000,0.678631,0.294946,0.820313,0.303285
44.400000,0.614506,0.340902,0.797875,0.354783
44.500000,0.586708,0.306237,0.854734,0.315119
44.600000,0.569754,0.291903,0.850758,0.272815
44.700000,0.485405,0.249732,0.820726,0.292932
44.800000,0.485202,0.257546,0.849429,0.267935
44.900000,0.480847,0.247366,0.827353,0.279722
45.000000,0.511696,0.221331,0.841587,0.259393
45.100000,0.418014,0.201669,0.840702,0.269843
45.200000,0.400514,0.214330,0.851169,0.281173
45.300000,0.503062,0.233318,0.855951,0.280671
45.400000,0.521316,0.236931,0.848476,0.264108
45.500000,0.467421,0.276607,0.805855,0.337301
45.600000,0.551528,0.304452,0.837302,0.326396
45.700000,0.561124,0.255253,0.797050,0.297271
45.800000,0.569735,0.306583,0.852906,0.285708
45.900000,0.592240,0.271139,0.878348,0.274496
46.000000,0.650073,0.271796,0.866536,0.271306
46.100000,0.634054,0.292932,0.845639,0.299684
46.200000,0.494221,0.318187,0.820766,0.272691
46.300000,0.494809,0.250692,0.836062,0.326835
46.400000,0.475344,0.230959,0.832381,0.287394
46.500000,0.529678,0.258821,0.835162,0.330507
46.600000,0.516337,0.290730,0.855419,0.304636
46.700000,0.600246,0.276877,0.850135,0.286917
46.800000,0.531088,0.295488,0.852434,0.257514
46.900000,0.502682,0.285537,0.846690,0.280791
47.000000,0.533247,0.356871,0.841865,0.296405
47.100000,0.519930,0.409505,0.807365,0.280188
47.200000,0.531339,0.352519,0.834414,0.276319
47.300000,0.490849,0.341012,0.850404,0.336933
47.400000,0.524170,0.357349,0.862920,0.304876
47.500000,0.486396,0.339643,0.811858,0.303843
47.600000,0.515606,0.320828,0.864820,0.320040
47.700000,0.507662,0.378301,0.836858,0.297988
47.800000,0.433213,0.271721,0.867070,0.306673
47.900000,0.451161,0.248318,0.851593,0.281346
48.000000,0.402344,0.297280,0.861825,0.274025
48.100000,0.484117,0.323847,0.813699,0.294378
48.200000,0.505383,0.376150,0.835732,0.313994
48.300000,0.571068,0.371575,0.842829,0.304655
48.400000,0.584100,0.364527,0.800639,0.305619
48.500000,0.482219,0.307885,0.837663,0.335516
48.600000,0.545210,0.284362,0.818732,0.302346
48.700000,0.568569,0.271512,0.872475,0.347407
48.800000,0.647703,0.308042,0.849695,0.308344
48.900000,0.576423,0.309090,0.819572,0.334967
49.000000,0.548160,0.293739,0.813374,0.316665
49.100000,0.517151,0.330449,0.844624,0.301819
49.200000,0.398430,0.292400,0.811987,0.341329
49.300000,0.455118,0.355492,0.842350,0.329582
49.400000,0.420988,0.335283,2.844549,0.351622
49.500000,0.425180,0.349091,0.840274,0.321689
49.600000,0.355374,0.312249,0.823040,0.304021
49.700000,0.468903,0.364180,0.826403,0.299123
49.800000,0.434720,0.350023,0.743920,0.282645
49.900000,0.413108,0.337259,0.695501,0.327183
50.000000,0.410965,0.310547,0.781593,0.282558
50.100000,0.490043,0.322053,0.776263,0.295025
50.200000,0.537586,0.360395,0.797944,0.274939
50.300000,0.534603,0.371455,0.848316,0.287283
50.400000,0.542278,0.433739,0.797521,0.271988
50.500000,0.528388,0.396861,0.808030,0.300107
50.600000,0.455376,0.400444,0.772027,0.270985
50.700000,0.489042,0.426585,0.809605,0.333832
50.800000,0.536160,0.324209,0.763356,0.366145
50.900000,0.429117,0.320278,0.778393,0.339192
51.000000,0.443179,0.287569,0.799770,0.352520
51.100000,0.442226,0.280947,0.783134,0.386125
51.200000,0.365010,0.302628,0.794259,0.376365
51.300000,0.461109,0.296243,0.813032,0.378075
51.400000,0.455898,0.316510,0.836731,0.404970
51.500000,0.476463,0.337299,0.811854,0.341050
51.600000,0.420930,0.277881,2.785153,0.387787
51.700000,0.397592,0.296429,2.827130,0.343679
51.800000,0.305259,0.279654,2.861039,0.343892
51.900000,0.356990,0.326711,2.826316,0.338487
52.000000,0.358791,0.302914,0.780299,0.373106
52.100000,0.326165,0.302961,2.779886,0.299689
52.200000,0.332444,0.311360,2.780222,0.409125
52.300000,0.364502,0.283977,2.826374,0.385076
